Fecha_emision;Numero;Codigo_articulo;Articulo;Presentacion;Precio_UNitario_con_iva
18/3/2025;1313;17;Alambre Negro nº 16 x kg;Kilos;2.691,17
18/3/2025;1313;18;Alambre Negro nº 9 x kg;Kilos;2.943,96
17/3/2025;1311;33;Arena x m3;metro 3;10.540,44
17/3/2025;1311;213;Flete;Unidad;24.876,92
17/3/2025;1312;116;Cemento Normal x 50 kg;Unidad;10.820,42
14/3/2025;1306;107;Caño Galva p/ Agua 2 1/2 x 6,40 mts;Unidad;225.250,00
14/3/2025;1306;1110;"Caño Galva p/ Agua 2"" x 6,40 mts";Unidad;176.589,34
14/3/2025;1306;1126;"Codo a 90? Galva p/ Agua 2"""" 1/2"""" HH""";Unidad;17.443,63
14/3/2025;1306;1128;"Codo a 90? Galva p/ Agua ?2"""" HH""";Unidad;8.464,20
14/3/2025;1306;1920;"Codo a 90° Galva p/ Agua 2"" MH";Unidad;9.881,07
14/3/2025;1306;143;"Codo a 90° Galva p/ Agua 2"" 1/2"" MH";Unidad;22.027,42
14/3/2025;1306;1922;"Tee Red Galva p/ Agua 2"" 1/2"" a 1"" 1/2""";Unidad;23.889,32
14/3/2025;1306;1921;"Tee Red Galva p/ Agua 2"" 1/2"" a 2""";Unidad;23.816,59
14/3/2025;1306;1138;"Entrerrosca Galva p/ Agua ?2"""" 1/2""";Unidad;8.950,68
14/3/2025;1306;171;"Entrerrosca Galva p/ Agua 1"" 1/2""";Unidad;3.790,34
14/3/2025;1306;1923;"Cupla Galvanizada HH 2"" 1/2""";Unidad;14.605,73
14/3/2025;1306;1924;"Cupla Galvanizada HH 2""";Unidad;6.782,59
14/3/2025;1306;1925;"Union Doble Conv Galva p/ Agua 1"" 1/2""";Unidad;11.183,05
14/3/2025;1306;1372;"Union Doble Conv Galva p/ Agua ?2"""" 1/2""";Unidad;35.772,66
14/3/2025;1306;1926;"Valvula Retencion 1"" 1/2""";Unidad;22.166,67
14/3/2025;1306;1379;"Valvula Retencion 2"""" 1/2"""" """;Unidad;58.416,80
14/3/2025;1306;1804;"Valvula Esferica ?1""""1/2""";Unidad;25.083,22
14/3/2025;1306;1543;"Valvula Esferica metalica 2 1/2""";Unidad;90.797,16
14/3/2025;1306;1927;"Tapon Galva M 2""";Unidad;3.233,00
14/3/2025;1306;1801;Gas Cinta Polyguard x 10 mts;Unidad;7.242,97
14/3/2025;1306;1099;Cañamo x 100 grs;Unidad;6.144,35
14/3/2025;1306;1346;Sellador p/ caños x 125ml;Unidad;7.741,45
14/3/2025;1306;1535;"Niple Galva p/ Agua Ø2"" x 15 cm";Unidad;10.320,96
14/3/2025;1306;1605;Llave Teatro 1 3/4;Unidad;64.056,60
14/3/2025;1306;248;"Gabinete p/ Manguera Incendio 1"" 3/4"" 50x55x16 cm c/ Puerta s/ Vidrio";Unidad;64.302,52
14/3/2025;1306;681;Tapa Boca Registro c / Leyenda Bomberos;Unidad;35.222,45
14/3/2025;1306;782;"Valvula Impulsion p/ Incendio 2"" 1/2""";Unidad;108.886,46
14/3/2025;1306;1860;Fusion Caño Ø50mm x 4 mts;Unidad;19.465,31
14/3/2025;1306;229;Fusion Codo 90° Ø50mm;Unidad;2.747,26
14/3/2025;1306;244;"Fusion Tubo Macho Ø50mm x 1"" 1/2"" Ins Met";Unidad;20.038,10
13/3/2025;1314;814;Yeso Monocapa Manual x 25kg;Unidad;8.073,74
13/3/2025;1314;1563;Yeso Tradicional x 40 kg;Unidad;7.476,87
13/3/2025;1314;212;Fino interior x 30 kg;Unidad;7.091,97
13/3/2025;1314;439;Pegamento HCCA p/ Bloques x 30 kg;Unidad;14.551,01
13/3/2025;1314;60;Bloque Brimax de HCCA 60x20x7,5;Unidad;2.543,55
